posto;produtibilidade;submercado;bacia
1;0,2076;se;grande
2;0,2437;se;grande
6;0,813;se;grande
7;0,3471;se;grande
8;0,5437;se;grande
9;0,3944;se;grande
10;0,1523;se;grande
11;0,2482;se;grande
12;0,2012;se;grande
14;0,8259;se;grande
15;0,7502;se;grande
16;0,2209;se;grande
17;0,5183;se;grande
18;0,4625;se;grande
20;0,0;se;paranaiba
22;0,3551;se;paranaiba
23;0,3471;se;paranaiba
24;1,1582;se;paranaiba
25;0,9669;se;paranaiba
28;0,4169;se;paranaiba
31;0,7027;se;paranaiba
32;0,2702;se;paranaiba
33;0,6355;se;paranaiba
34;0,3869;se;alto-parana
37;0,1776;se;tiete
38;0,1848;se;tiete
39;0,1737;se;tiete
40;0,213;se;tiete
42;0,2784;se;tiete
43;0,4025;se;tiete
44;0,0;se;alto-parana
45;0,18;se;alto-parana
46;0,1754;se;baixo-parana
47;0,2907;se;paranapanema
48;0,2306;se;paranapanema
49;0,6177;se;paranapanema
50;0,1483;se;paranapanema
51;0,1288;se;paranapanema
52;0,1489;se;paranapanema
53;0,1275;se;paranapanema
54;0,0;s;s
55;0,0;s;paranapanema
57;1,0494;s;paranapanema
58;0,0;s;s
61;0,3744;se;paranapanema
62;0,2221;se;paranapanema
63;0,1841;se;paranapanema
65;0,0;s;s
66;1,0244;se;baixo-parana
71;0,8126;s;iguacu
72;0,8307;s;iguacu
73;0,0;s;iguacu
74;1,0938;s;iguacu
75;0,904;s;iguacu
76;0,0;s;iguacu
77;0,8921;s;iguacu
78;0,5747;s;iguacu
80;0,0;s;s
81;0,1458;s;iguacu
83;0,0;s;s
85;0,0;s;s
88;0,0;s;uruguai
89;0,3691;s;uruguai
92;0,9097;s;uruguai
93;2,2252;s;uruguai
94;0,4506;s;uruguai
97;0,3541;s;jacui
98;0,7676;s;jacui
99;0,4021;se;paranaiba
100;0,0;se;se
101;1,7641;s;itajai-acu
102;0,1878;s;uruguai
103;0,2545;s;uruguai
104;0,0;se;alto-tiete
109;0,0;se;alto-tiete
110;0,0;s;jacui
111;0,3682;s;jacui
112;0,7951;s;jacui
113;0,7554;s;jacui
114;0,3356;s;jacui
115;6,3542;s;capivari
116;0,0;se;alto-tiete
117;0,0;se;alto-tiete
118;0,0;se;alto-tiete
119;0,0;se;alto-tiete
120;0,5163;se;paraiba-do-sul
121;0,7007;se;paraiba-do-sul
122;0,3679;se;paraiba-do-sul
123;0,5575;se;paraiba-do-sul
125;0,0;se;paraiba-do-sul
126;0,9762;se;paraiba-do-sul
127;0,0;se;paraiba-do-sul
129;0,0;se;paraiba-do-sul
130;0,0;se;paraiba-do-sul
131;2,6871;se;paraiba-do-sul
132;0,0;se;paraiba-do-sul
134;0,802;se;doce
135;0,2094;se;paraiba-do-sul
141;0,1698;se;doce
144;0,1989;se;doce
145;0,5244;se;amazonas
148;0,2558;se;doce
149;0,4503;se;doce
154;0,3071;se;baixo-parana
155;0,3346;se;sao-francisco
156;0,436;se;sao-francisco
158;1,6404;se;sao-francisco
160;0,0;se;alto-tiete
161;0,0;se;alto-tiete
164;0,0;se;alto-tiete
166;0,0;se;baixo-parana
168;0,0;ne;sao-francisco
169;0,2449;ne;sao-francisco
171;0,0;ne;sao-francisco
172;0,4425;ne;sao-francisco
173;0,0;ne;sao-francisco
175;0,0;ne;sao-francisco
176;1,0213;ne;sao-francisco
178;1,0781;ne;sao-francisco
183;0,9364;se;doce
187;0,0;se;se
188;0,715;ne;jequitinhonha
190;0,3784;ne;parnaiba
191;0,3868;se;tocantins
196;1,6903;se;itabapoana
197;1,1546;se;paraiba-do-sul
198;0,7164;se;paraiba-do-sul
199;0,0;se;se
201;0,0;se;paraiba-do-sul
202;0,0;se;paraiba-do-sul
203;0,0;se;paraiba-do-sul
204;0,1406;n;araguari
205;0,5836;se;paranaiba
206;0,6195;se;paranaiba
207;0,5114;se;paranaiba
209;0,6294;se;paranaiba
211;0,3549;se;grande
213;2,1132;se;sta-maria-vitoria
215;1,4153;s;uruguai
216;1,6063;s;uruguai
217;0,8779;s;uruguai
220;0,54;s;uruguai
222;0,5596;s;iguacu
225;0,2218;se;amazonas
226;0,0;se;amazonas
227;0,2431;se;amazonas
228;0,2078;se;amazonas
229;0,5054;se;amazonas
230;0,2267;se;amazonas
237;0,0;se;tiete
238;0,0;se;tiete
239;0,0;se;tiete
240;0,0;se;tiete
241;0,3742;se;paranaiba
242;0,0;se;tiete
243;0,0;se;tiete
244;0,0;se;alto-parana
245;0,0;se;alto-parana
246;0,0;se;baixo-parana
247;0,243;se;paranaiba
248;0,3214;se;paranaiba
249;0,0962;se;paranapanema
251;0,6489;se;paranaiba
252;1,2239;se;paraguai
253;0,2149;se;tocantins
254;0,9483;ne;paraguacu
255;1,4533;se;jequitinhonha
257;0,2408;se;tocantins
258;0,0;se;se
259;0,7685;se;paraguai
260;0,0;se;paranaiba
261;0,2395;se;paranaiba
262;1,0066;se;doce
263;0,4593;se;doce
265;0,0;se;se
266;0,0;se;baixo-parana
267;0,0;se;se
269;0,208;n;amazonas
270;1,0404;se;tocantins
271;0,211;n;tocantins
273;0,3315;se;tocantins
274;0,0;n;n
275;0,5496;n;tocantins
276;0,0;n;n
277;0,1679;n;amazonas
278;0,508;se;paraguai
279;0,2762;se;amazonas
280;0,1795;n;araguari
281;2,2106;se;paraguai
282;0,0;se;se
283;0,4495;se;mucuri
284;0,3016;s;jacui
285;0,155;se;amazonas
286;1,035;s;uruguai
287;0,1589;se;amazonas
288;0,0;n;xingu
289;0,0;se;se
290;0,2315;n;amazonas
291;0,8689;se;amazonas
292;0,8185;n;xingu
294;0,4502;se;paranaiba
295;0,9297;se;paraguai
296;1,5452;se;amazonas
297;0,1499;n;araguari
298;0,0;se;paraiba-do-sul
299;0,2702;se;paraiba-do-sul
300;0,0;se;paraiba-do-sul
301;0,0;se;alto-parana
302;0,114;n;xingu
303;2,7014;se;paraiba-do-sul
304;0,0;se;paraiba-do-sul
305;0,0;se;baixo-parana
306;0,3233;se;paraiba-do-sul
313;0,0;se;se
315;0,0;se;paraiba-do-sul
316;0,0;se;paraiba-do-sul
317;0,0;se;paraiba-do-sul
318;5,6808;se;alto-tiete
319;0,0;se;alto-tiete
320;0,0;se;alto-parana
921;0,0;se;paraiba-do-sul
976;0,0;s;iguacu
15200010;0,0;n;amazonas
15250001;0,0;n;amazonas
15299999;0,0;n;amazonas
22910000;0,0;n;tocantins
25700000;0,0;n;tocantins
27500000;0,0;n;tocantins
43200000;0,0;ne;sao-francisco
44200000;0,0;ne;sao-francisco
45298000;0,0;ne;sao-francisco
46360000;0,0;ne;sao-francisco
46902000;0,0;ne;sao-francisco
60805100;0,0;se;paranaiba
61425000;0,0;se;grande
61537000;0,0;se;grande
61787000;0,0;se;grande
61915000;0,0;se;grande
63968000;0,0;se;baixo-parana
64617000;0,0;se;baixo-parana
64693000;0,0;se;baixo-parana
64831000;0,0;se;baixo-parana
64999999;0,0;se;baixo-parana
65310001;0,0;s;iguacu
